source_timestamp_ms,received_timestamp_ms,log_timestamp_ms,symbol,price,bid,ask,spread,latency_ms,direction,previous_price
1753273655237,1753273655285,1753273655285,GBPUSD,1.35359,1.35359,1.35360,0.00001,48.000,1,1.35358
1753273655843,1753273655895,1753273655895,GBPUSD,1.35358,1.35358,1.35359,0.00001,52.000,-1,1.35359
1753273656000,1753273656063,1753273656063,GBPUSD,1.35357,1.35357,1.35358,0.00001,63.000,-1,1.35358
1753273656239,1753273656286,1753273656286,GBPUSD,1.35358,1.35358,1.35359,0.00001,47.000,1,1.35357
1753273656837,1753273656880,1753273656880,GBPUSD,1.35359,1.35359,1.35360,0.00001,43.000,1,1.35358
1753273662444,1753273662491,1753273662491,GBPUSD,1.35358,1.35358,1.35359,0.00001,47.000,-1,1.35359
1753273663637,1753273663682,1753273663682,GBPUSD,1.35357,1.35357,1.35358,0.00001,45.000,-1,1.35358
1753273663838,1753273663882,1753273663882,GBPUSD,1.35356,1.35356,1.35357,0.00001,44.000,-1,1.35357
1753273666840,1753273666892,1753273666892,GBPUSD,1.35349,1.35349,1.35350,0.00001,52.000,-1,1.35356
1753273667234,1753273667277,1753273667277,GBPUSD,1.35350,1.35350,1.35351,0.00001,43.000,1,1.35349
1753273667436,1753273667490,1753273667490,GBPUSD,1.35349,1.35349,1.35350,0.00001,54.000,-1,1.35350
1753273667637,1753273667698,1753273667698,GBPUSD,1.35348,1.35348,1.35349,0.00001,61.000,-1,1.35349
1753273669836,1753273669883,1753273669883,GBPUSD,1.35347,1.35347,1.35348,0.00001,47.000,-1,1.35348
1753273672236,1753273672288,1753273672288,GBPUSD,1.35346,1.35346,1.35347,0.00001,52.000,-1,1.35347
1753273672636,1753273672690,1753273672690,GBPUSD,1.35345,1.35345,1.35346,0.00001,54.000,-1,1.35346
1753273677245,1753273677291,1753273677291,GBPUSD,1.35346,1.35346,1.35347,0.00001,46.000,1,1.35345
1753273678842,1753273678893,1753273678893,GBPUSD,1.35348,1.35348,1.35349,0.00001,51.000,1,1.35346
1753273679237,1753273679284,1753273679284,GBPUSD,1.35347,1.35347,1.35348,0.00001,47.000,-1,1.35348
1753273679437,1753273679493,1753273679493,GBPUSD,1.35346,1.35346,1.35347,0.00001,56.000,-1,1.35347
1753273680444,1753273680523,1753273680523,GBPUSD,1.35341,1.35341,1.35342,0.00001,79.000,-1,1.35346
