source_timestamp_ms,received_timestamp_ms,log_timestamp_ms,symbol,price,bid,ask,spread,latency_ms,direction,previous_price
1753364871238,1753364871294,1753364871294,USDJPY,146.60800,146.60800,146.60900,0.00100,56.000,-1,146.61300
1753364871637,1753364871682,1753364871682,USDJPY,146.60900,146.60900,146.61000,0.00100,45.000,1,146.60800
1753364872236,1753364872285,1753364872285,USDJPY,146.60700,146.60700,146.60800,0.00100,49.000,-1,146.60900
1753364872634,1753364872681,1753364872681,USDJPY,146.61100,146.61100,146.61200,0.00100,47.000,1,146.60700
1753364873243,1753364873295,1753364873295,USDJPY,146.60700,146.60700,146.60800,0.00100,52.000,-1,146.61100
1753364873445,1753364873493,1753364873493,USDJPY,146.60800,146.60800,146.60900,0.00100,48.000,1,146.60700
1753364873835,1753364873878,1753364873878,USDJPY,146.60700,146.60700,146.60800,0.00100,43.000,-1,146.60800
1753364874242,1753364874290,1753364874290,USDJPY,146.60800,146.60800,146.60900,0.00100,48.000,1,146.60700
1753364874439,1753364874484,1753364874484,USDJPY,146.61000,146.61000,146.61100,0.00100,45.000,1,146.60800
1753366527041,1753366527090,1753366527090,USDJPY,146.37800,146.37800,146.37800,0.00000,49.000,-1,146.38000
